iter	RMSE
0	0.05619567433
1	0.05608369192
2	0.05592598197
3	0.05574165774
4	0.05563918938
5	0.05546713317
6	0.05529103114
7	0.05512854555
8	0.05497382187
9	0.05487574379
10	0.05475058087
11	0.05467152252
12	0.05457058196
13	0.05447706899
14	0.05434621253
15	0.05423963277
16	0.05409156781
17	0.05400164777
18	0.05387023543
19	0.05376617759
20	0.05367176148
21	0.05359448611
22	0.05348342209
23	0.05340314359
24	0.05332041793
25	0.05322043024
26	0.05313022724
27	0.05298775723
28	0.05290096756
29	0.05279438236
30	0.05271988456
31	0.05262212854
32	0.05245910141
33	0.0523799762
34	0.05228346546
35	0.05213340479
36	0.05202541705
37	0.05188486399
38	0.05178043425
39	0.051703846
40	0.05162452984
41	0.05151318726
42	0.05139671592
43	0.05131993833
44	0.05120633789
45	0.05111484714
46	0.05095995334
47	0.05085179406
48	0.05077459249
49	0.05065102783
50	0.05057188104
51	0.05049016393
52	0.05035273848
53	0.05026437323
54	0.05016654377
55	0.05008073526
56	0.04996531937
57	0.0498830467
58	0.04981024936
59	0.04968733381
60	0.04960783908
61	0.04951750431
62	0.04943475359
63	0.04933249456
64	0.04925358988
65	0.04916412188
66	0.04910432893
67	0.04898330892
68	0.04884712931
69	0.04878252887
70	0.04867262291
71	0.04856202605
72	0.04844373782
73	0.04831764022
74	0.04821281618
75	0.04808499781
76	0.0480205262
77	0.04787358688
78	0.04776543865
79	0.0476616088
80	0.04754866422
81	0.04749021349
82	0.04740761598
83	0.04732509512
84	0.04721479007
85	0.04712093105
86	0.04700826996
87	0.04690897336
88	0.04679660796
89	0.04674092239
90	0.04666153888
91	0.04656209317
92	0.04649493834
93	0.04639962131
94	0.04628837806
95	0.04619207388
96	0.04612164559
97	0.04601435873
98	0.04587974877
99	0.04580544746
100	0.04571847923
101	0.04563971994
102	0.04552978699
103	0.04546838265
104	0.04538150436
105	0.0452703573
106	0.04516173603
107	0.04509000528
108	0.04499605964
109	0.04494636655
110	0.04490152859
111	0.04483161908
112	0.04479781386
113	0.04474170442
114	0.04463468271
115	0.0445230965
116	0.04443281608
117	0.04431595213
118	0.04421963636
119	0.04411417962
120	0.0440028643
121	0.04390496447
122	0.0438300648
123	0.04377552337
124	0.04369979982
125	0.0436153816
126	0.04356116075
127	0.04348660239
128	0.04339448461
129	0.04330974478
130	0.04322567922
131	0.04310991723
132	0.04301508201
133	0.04295030588
134	0.04284777978
135	0.04277032894
136	0.04267720426
137	0.04257410779
138	0.04252430763
139	0.04243880885
140	0.04236272175
141	0.04228365135
142	0.04218263997
143	0.04211435153
144	0.04204949803
145	0.0419794733
146	0.04189370338
147	0.04180324221
148	0.04170852557
149	0.04161980741
150	0.04154660507
151	0.04149718825
152	0.04146555503
153	0.0414171408
154	0.04134970631
155	0.04128315301
156	0.04121557642
157	0.04114273383
158	0.0410217164
159	0.04090792681
160	0.04087326687
161	0.04077827429
162	0.04072769887
163	0.04062507399
164	0.04053995974
165	0.04051339467
166	0.04046590736
167	0.04040694226
168	0.0403116111
169	0.04025289244
170	0.04018671335
171	0.04013663538
172	0.04010657098
173	0.04001651031
174	0.03996516939
175	0.03986945081
176	0.03978810943
177	0.03969515819
178	0.03960857672
179	0.03949473817
180	0.0394100723
181	0.03931262838
182	0.03922478764
183	0.03912776724
184	0.03904398631
185	0.03896775636
186	0.03889959491
187	0.0388519346
188	0.03881179415
189	0.03872903852
190	0.03868636532
191	0.0385949574
192	0.03855103448
193	0.03849069407
194	0.03840373949
195	0.0383272616
196	0.03826323791
197	0.03820323496
198	0.03813999703
